,Comments_youtube
183,"Sudah saya bilang, dulu harusnya contoh USA, basmi, baru duduki. Lah kita enggak ... malah beramah tamah, berkembang biak kan mereka."
184,"Kalau KKB membunuh TNI,POLRI malah Jendral (kepala BIN) dan masyarakat sipil,apakah tidak melanggar HAM? suara KOMNAS HAM mana?Tidak bs HAM berlaku sepihak saja itu tidak fair namanya,Teroris ini mau enaknya saja."
185,Rakyat bersatu membela NKRI ..Bravo TNI  tdk ada negara lain merebut Negara NKRI..
186,"Ngandelin banget yang namanya internasional, apa  apa internasional."
187,"sebenarnya gw gk setuju kkb di anggap teroris karena akan membuat masalah papua semakin beringas, kkb mungkin dianggap pahlawan di papua sana"
188,"Jadi inget perang merebut kemerdekaan Indonesia dulu .
Para pejuang kita di cap radikal , separatis , dan teroris oleh Belanda .
Cuma karna kita ingin memiliki sebuah negara yg dimana para pribuminya bisa menjadi tuan di tanahnya sendiri ."
189,"Wkwkwk mereka panik guys, kalo statusnya jadi teroris berarti TNI & Polri udah gak perlu nahan diri, soalnya kemarin ngumpet mulu diketek Ham, sampe mau ngadu ke pengadilan international  lawakk...."
190,Makin di kasi hati opm makin sadis
191,"Kalau gda pbb
Mah udh lama kkb di hajar rudal jet NKRI atau di hajar sama tank dan alat2 berat lainnya "
192,Penetapan status tnpb sebagai teroris itu juga untuk melindungi masyarakat Papua yang masih setia terhadap NKRI
193,"padahal anak-anak papua banyak yang berprestasi untuk indonesia, atlit olah raga, politikus, dan tni polri. kenapa mereka di bilang teroris...??? DAMAILAH INDONESIAKU"
194,"Pemerintah indonesia baru menurunkan Pasukan Setan TNI AD... Itu KOPASUS, KORPASKASAU, maupun KOPASKA belun turun lho ya"
195,"BRAVO TNI, KIKIS SAMPAI HABIS, RAKYAT PENDAMBA DAMAI DAN TENTERAM SERTA MAJU"
196,RAKYAT BERSAMA TNI & POLRI  LENYAPKAN  PENGACAU  N K R I
197,Smga prjuagn mereka membuahkan hasil.
198,Sudah jelas ini didukung intelejen luar negri... Gak masuk akal KKB mengajukan ke pengadilan internasional....soalnya kkb jelas sudah mengancam keamanan negara....
199,"Opm mulai pada ketakutan ..
Karna sudah di cap teroris AUTO bakal di ratakan ..
Mantap !"
200,Lebih dr teroris basmi sikat tumpas sampai akar akarnya dan penyandang dananya
201,
202,"Sudah sepantasnya di sebut teroris, karena mereka telah banyak melakukan aksi teror dan sudah banyak memakan korban jiwa dari TNI maupun warga sipil"
203,"Heeeiii kau KTB dengar baik2 ya..
Jika kau berani hadapi militer indonesia.. Jgn kau bunuh rakyat sipil yg tak bersenjata, kau terror kedamaian rakyat papua!! Kau itu macam banci lah, pengecut kau itu!!
Kalau kau berani, lawan lah militer indonesia, jgn kau lari atau minta berunding.. Rundingan kau itu mentah di dunia.internasional!! Perundingan yg kau ajukan di dunia internasional Akan berbalik menjadi bumerang utk kalian sendiri,, ini mementum kebodohan kalian sendiri!! dunia internasional akan mendukung militer indonesia karena NKRI berhak mempertahankan kedaulatan kemerdekaan nya dan area wilayah teritorial negara nya.."
204,Oleh karenanya tumpas KKB secepatnya...jangan sampai ada intervensi internasional....
205,"Pengadilan international....!!! Mau kepengadilan apa pun juga, anda tetap teroris.. makannya sekolah nya di indonesia, jadi tau UUD negara ini. Hedeeeh... Ya allah... Sadarkan mereka."
206,Ehh ada pak mahfud MD yg dulu tegas di MK skrg di MENKOPOLHUKAM malah agak layu.
