,Comments_youtube
732,"Kalo bukan teroris... Ayooo... Turun gunung dan adu laga di lapangan terbuka dengan TNI.
Jangan ngumpet terus.
Apalagi pimpinannya ngumpet di Australia."
733,mau separatis apa teroris sama aja.... sama2 nganggu kestabilan negara
734,udah binasakan saja OPM KKB TERORIS...anggap saja mereka bukan manusia....demi Tegaknya NKRI
735,"Dalam situasi ini memang selain Militer, namun loby2 internasional sangat dibytuhkan, karena Teroris OPM juga pasti ada kekuatan asing yg besar dibelakangnya..."
736,Di bom aja semua KKB itu pas di markasnya...
737,"Dlm isu teroterial,negara luar tidak boleh ikut campur,,,SBP teroris tu adalah MUsuh keamanan negara,,teroris harus d buru sampai akar umbinya"
738,"KKB mending di rangkul, dikirim ke Palestina sana kalo hobi perang perang"
739,KKB pantas dicap Teroris karena selalu membuat ketakutan masyarakat dan tidak berani berhadapan dgn aparat negara dan beraninya sama dengan rakyat sipil yg melakukan aktifitas sehari hari. Jangan Islam saja yg siaebut Teroris ini lebih dasat dari Teroris dan aparat negara harua tegas melinsungi maayarakat sipil yg tidak berdosa semoga aparat TNI /POLRI dibeeikan keselamatan.teroris dan KKB diberi dana oleh Negara Barat agar  untuk mengacaukan Islam dan Indoneaia
740,"Hati"" PBB jan macem"" nanti di serbu warga +62... 
Kaya yang dulu"""
741,mereka tidak perlu di tempuri yg akibatnya menimbulkan banyak korban nyawa yg hilang & juga banyak biaya optasi yg terkuras berikan aja mereka kehidupan yg makmur dgn harta hasil bumi mereka sendiri klo pasilits ekonomi mreka sudah makmur mereka dgn harta uang yg banyak & pendidikan pasti tidak ada yg jadi jd teroris
742,KKB/OPM SOK KERAS NANTI JUGA MATI
743,Tujuan nya pengin merdeka dan membunuh manusia tak bersalah sama terorisme .harus di habisi
744,Ayoo kita sapu kkb
745,"Lah terus elu (KKB) Bunuh warga sipil, nyulik orang, bunuh TNI/Polri, apalagi bersebrangan dengan negara. Itu bukan termasuk terror namanya?!! 
Emangnya terroris di cap untuk orang yg dengan latar agama Islam doang?!!Ya kaga lah!!
Kelompok kayak lu (KKB) juga termasuk terroris!!"
746,Basmi dan habisi
747,INDONESIA SUDAH KELAGAN JAYAN ADU NEGARA TAKUT LAWAN OPM KASIHAN SE
748,1:07 kayak kenal bapak ini. Menyesengsarakan rakyat
749,Kalau melibatkan warga sipil sudah termasuk teroris...
750,"BERANTAS TERORIS PAPUA,.. jangan takut HAM,.. bravo TNI_POLRI"
751,Tindak tegasss... biadab....
752,"Pengadulan Para Pembangkang.
Pengadilan mana yg bela Teroris.......australi...amrek...portugl...atau yahudi..... Dasar TERORIS"
753,"Ga ada pengadilan,kuburan pengadilan."
754,Gk mw dicap teroris..trus mesti dicap apa...
755,"Tindakan apa saja yg bisa menghancurkan keamanan negara dan rakyatnya, maka itu adalah musuh negara dan harus dibasmi sampai keakar akarnya, hidup TNI doa kami selalu menyertai langkahmu "
756,KKB apa pun itu mereka sudah berhianat dengan negara kita apa lagi susah membunuh rakyat guru anak kecil itu sudah jelas mereka tergores...!!!! Yang patut di bumi hanguskan dari Indonesia...!!! Maju terus TNI Polri jangan kasih kendor...!!!!
757,"Babat habis semua anggota KKB..jangan ada yg tersisa
Musnahkan sampai ke akar akarnya...cincang mayatnya...kasih buat makan buaya"
758,Baru pertama dalam sejarah..... Penjahat ingin d cap baik...
759,Wkwkwk giliran dicap teroris nangis2 kkb takut di libas habis ya  kemarn2 nantang terus inget bro status nte udh jd teroris jd tni sekarang leluasa menghabisi anda
760,"Ada gubernurnya yg gk trima di sebut teroris, trnyata eh kluar aslinya"
761,"Takut y di bilang teroris,,, lawanmu skrg densus, denjaka kopasus.... Raja hutan turun gunung"
762,"Kkb itu masih terlahir di indonesia dn warga indonesia jika bukan sja terlahir dri indonesia aku percaya tni tidak mengarahkan polisi,tni,kopasus utk mereka tp mengirimkan JET PEJUANG dgn memberikan ledakan BOM dari jet  itu..hancurkan saja mereka yg tidak mengenang budi...salam dari malaysia saudara2 serumpun ku.."
763,Ga mau dibilang teroris tapi kelakuanya lebih dari itu teroris..
764,"Sudah banyak nyawa hilang baru skarang di beritau teroris, lalu ada lagi uji materi, apa apaaan ini..
Seharusnya itu
Hak adalah Hak"
765,Pulang dr sidang langsung tangkap pengacara dan jubir nya
766,"sebenrnya pemerintah dk mau cap teroris,karena sering rakyat papua barat yg jadi korban kkb,terus sering berulah makanya pemerintah cap teroris sm kkb sering kekacuain tembak"
767,"perlu diketahui asing sangat setuju kita bercerai berai, untuk memuluskan jajahan mereka seperti ada negara papua, ada negara kalimantan ada negara jawa ada nega sumatera dst.nya maka waspadalah indonesiaqu"
768,kkb opm & sejenisnya sbg teroris yg perlu diadili pakai timah panass...karena telah menjadi duri dlm NKRI...
769,Tindak tegas aja tu kkb ga usah di kasih ampun
770,"tdk perduli, meskipun ke pengadilan internasigoreng sekalipun, terimalah aji lebur tumpes kelorku huahahaaaaaa... modyar kowe..."
771,Tembak aja
772,"Gimana ga dicap teroris, org suka bikin gaduh 1 negara "
773,Ya benarlah KKB di cap teroris apa salahnya emang
774,"Lawak bener dah bunuh masyarakat
Gamau dibilang teroris"
775,"Kenapa membunuh ngawur ,guru ,murid ,ojol ,bin dia tembakin sampe meninggal ,
Semoga cepet tertangkap smua kalo bisa tewas semua itu kkb"
776,Teroris Habisi Saja.
777,"Di ajak kembali ga mau..... Katanya minta dana desa.....
Taik lah....."
778,Emang bener teroris KKB OPM  layak di sebut teroris perlu di basmi sampai habis .klo masih bikin rusuh di wilt NKRI .
779,Mungkin ada yang membela dari negara lain makanya berani gitu.. kan ada tambang jadi yang membeli mau juga
780,"Takut ya? Mulai kocar kacir? Anda bikin perkara sama negara yang salah bos! Ga cuma tentara kami yang garang, netizen pun siap bersatu melawan KKB! Musnahkan KKB!"
781,"Rejim jokowi makin banyak melanggar ham di papua,menggunakan pendekatan perundingan lebih baik daripada militer.  Teroris hanya di politisasi."
782,"️️️
.. Gais ️..  doaii aku berjaya dlam bidang youtube .. mana tahu doa kalian ter makbul . Amin yarobalalamin , aku pom doa moga kalian brjaya di dunia dan di akhirat. Amin .."
783,Teroris kkb harus dimusnahkan dibumi papua..tdk ada tawar menawar...
784,Yg tidak mendukung keputusan pemerintah sama saja dgn teroris..
785,Nggak perlu dianggap….. habisin mereka secara tuntassss dan cepatttt
786,"Namanya pok teroris pasti jd buruan seluruh pasukan anti teror sedunia krn gk ada tempat pok separatis bersenjsta alias teroris didunia ini mk hcr sudah kkb teroris ini merupakan awal dr perburuan pok teroris papua beserta para simpatisan maupun pendukung baik dlm negeri maupun luar negeri, olh pskan anti teroris tni polri. Bravo tni polri payung hukum sdh dijamin sesuai uud Nkri."
787,"Memang sangat pantas di sebut teroris ko', atas nama kemerdekaan yg mana mereka rela membunuh saudara sebangsa dan senegara"
788,ada gubernurnya yg gk terima tuh....
789,Hancurkan kkb sampe keakar
790,Pengadilan internet kalau memang pemerintah tegas .. mereka bisa apa 
791,"Pengadila Internasional,HAM,apalagi om"
792,Brantas semua rombongan itu
793,Tak usah.... Internasional Teroris wajib ditumpas... selesaikan dengan senyap bersih kan kuman teroris
794,KKB nyari masalah aje heran mau nya apa sih dah lah damai² aja diem baik² ngapain sih nyari² masalah dah tau di indo lagi banyak masalah malah nambah²in 
795,"Ayo basmi ni asli teloris yg jelas.jngn yg d duga"" teloris yg d ubek"" hhh"
796,KATA GW BISA AJA KKB MENJANJIKAN TERHADP NEGARA EROPA YNG INGIN EMAS DAN JDI INDO KALAH BISA AJA OPINI GW LOH YA
797,"Sikat hahis perongrong bangsa ,jangan takut hammm ,negara lainpun tidak takut dengan urusan peribadi negara lain"
798,"Eh, gimana... gimana ?? 
Uji materi ke peradilan internasional ??

Mereka negara ? Berbadan hukum ? Organisasi yang di akui secara internasional ?? Apa gimana si kok uji materinya ke peradilan internasional ?"
799,sudah berlakukan DOM aja disana biar cepat beres
800,"Nangeeees, giliran udah diresmikan statusnya sebagai teroris langsung nangeeess. Takot kena gangbang, langsung ngadu sama bapaknya yang nyuplai senjata"
801,"selama ini pemerintah masih sabar, 1,2,3,4 anggota TNI-POLRI gugur, pemerintah masih sabar, ketika digalakan pembangunan ke Papua, buka jalan, buka akses, listrik, internet, saat itupun semua proyek dijaga ketat, kenapa? karena sdh ada kejadian pekerja diteror, alat dihancurkan, pemerintah?? masih sabar, pos-pos penjagaan TNI-POLRI pun dibangun di distrik2 terpencil, guru2 pun dikirim kesana, masih saja diteror dgn kekerasan, penembakan dll, nah tahun-tahun berlalu dan korban sipil-aparat berjatuhan, seorang guru saja dibunuh!! sampe seorang perwira jenderal berbintang gugur!!  seperti sdh cukup sabar, orang2 barbar ini sudah tak bisa diatur lagi, nah sekarang pas dicap teroris kenapa kalian TEGANG DAN TAKUT? kenapa? karena mereka tahu jika kekuatan militer Indonesia itu jika serius, Papua akan dijadikan DOM (Daerah Operasi Militer), nah disitu bisa bahaya, bayangkan cuma bisa lari2 tembak, lari tembak buat meneror aparat, dan sekarang Indonesia menurunkan bisa saja full tenaga buat menggempur? pakai drone pengebom? Sukhoi? Tank Leopard, Tank Anoa, artileri 80mm, nah lho nah lho, panik ngak? panik ngak?"
802,"Lngsung pake pesawat aj..
Itung2 buat ltihan"
803,"Bantai aja udah lah Males lihatnya, dengernya juga Miris apalagi ada Orang yang gak Bersalah Mati dengan Sadis"
804,"klo bukan teroris trs apa org kalian membunuh,menembak.
mau di blg pemberontak? trs apa bedanya dg teroris .
apa yg di lakukan kalian KKB sma dg teroris,cm beda nya kalian terang2an klo teroris kn smbunyi."
805,"Hukum internasional mana yang mau melindungi KKB 
Berarti musuh Indonesia
LENYAPKAN KKB"
806,Saya tetep dukung pemerintah...adanya di sbut teroriss saya yakin..udah sezuai uud ..mkanya klau gk mau di sebut teroriss jangan sering melannggar hukummm....
807,Gk usah ditanggapi  hadapi sj dengan TNI
808,"Mau k pengadilan internasional? Knp gak k pengadilan lokal aja dl, trus tuntut pemerintah krn gak terima dsebut teroris setelah melakukan penculikan, pembunuhan warga sipil dll."
809,Gak mau di bilang teroris trus maunya apa? KKB? Sama aja begoo
810,BRAVO TNI-POLRI ️🇮🇩
811,Cukup timor leste sj yg lepas jangan sampai papua lg
812,Lenyaplah KKB di muka bumi ini
813,Siikat yang mengancam negara
814,Kok para mahasiswa papuanya malah ngelar demo bela kkb mahasiswa apa tu... Mn idiologi loe sbg mahasiswa
815,Apa apa pengadilan internasional.. apa mereka gak punya otak ..waktu nembakin orang yg jadi korban mereka..
816,TEMBAK PALANYA TUH PENGHIANAT NKRI JGN DI KASIH AMPUN PAK!!!
817,Yg bener uji nyawa....
818,Dih ko baper wkwk
819,Lah emng fakta kalian aja membunuh penduduk yg tidak menjadi anggota KKB dibunuh dan para perempuan diperkosa ngotak donk
820,"Perjuangan KKB sia-sia.
Lihat bapak Moro begitu nyaman kehidupannya dikelilingi orang-orang yang mencintai beliau. NKRI harga mati"
821,"KkB harus di tidak lanjuti, dengan tegas  ,tumpas habis sampy aker aker."
822,Setuju.. KKB itu teroris yang sebenarnya..
823,Pasti ada dalang orang besar di balik ini semua
824,Panik gak panik gak panik gak?
825,"KKB gak bkalan lama lg usiamu.
pling bntar lg kau tinggal sjarah"
826,Fix ada dalangnya ini mah
827,"Papua kan bukan indonesia kenapa pulak warga nkri caap papua sebagai teroris 
Nyadar siapa yang teroris sebenar nya aduh aduh tax nyadar nyadar"
828,"yang teroris itu TNI dan Polri  yang membuat keresahan dan rasa tidak aman bagi rakyat nduga , intan jaya  papua karena bunuh pdt Yeremias  terus dalam  sejarah papua itu papua bukan bagian dari NKRI sesuai isi keputusan sidang umum PBB NO 2504 butir ke-2 isinya menunjukkan indonesia untuk membangun papua selama 25 tahun setelah itu dikembalikan papua ke PBB jadi jangan indonesia bilang papua bagian dari NKRI dan harga mati sebab bahasa harga mati itu tidak ada dalam isi  keputusan 2504 sidang umum PBB jadi  pemerintah perlu kaji ulang label teroris  bagi KKB sebab KKB adalah OPM yang sudah ada sejak tahun 1961  sebelum masuk Indonesia di papua dan belanda juga tahu, jadi solusinya    indonesia buka ruang dialog bukan Militer  nnti trauma masa lalu terulang kembali dan akan tumbuh akar kepahitan bagi seluruh orang Papua terhadap indonesia sebab.Terimakasih"
829,"Tunjukan gigi bapak Mahmud,,,,,,jgn hanya sma Rizieq doang,,,,,"
830,"Tidak ada kata terlambat "",kuncinya tingkat pemerataan pembangunan sampai kepelosok dan sejahterakan seluruh rakyat indonesia dan hukum berat pejabat yg korupsi niscaya negri tercinta ini pasti damai !!!"
831,"INI BARU TERORIS..

AHH..."
832,Low bukan teroris lalu apa doong?
833,Ingat kah Timor Timor dulu punya siapa dan di negara
834,KKB adalah teroris yg mengancam kedaulatan negara.
835,semoga indonesia selalu dalam lindungan ALLAH dan terhindar dari perpecahan
836,"NKRI HARGA MATI..
TERORIS KKB HARUS DILENNYAPKAN DARI BUMI PERTIWI..."
837,"Lah emang teroris mereka, bukan hanya nyerang TNI/POLISI  mereka juga nyerang warga sipil yg tdk bersalah,"
838,KKB brantas tuntas.
839,"Habis semua.
Kkb dikasih hati minta jantung.
Sdh berapa nyawa TNI yg gugur.
Sdh waktunta meraka di tindak tegas"
840,Dari Sabang sampai Merauke kita semua saudara damailah Indonesia ku.
841,Ahh..wktunya Darurat Militer lg nihh
842,Apa urusan internasional??? KKB oon
843,Ratakan
844,Mereka kira gampang membangun negara.
845,"Udah gausah digubris. Intinya basmi sampe tuntas, kalo udah dibasmi tindakan apa yg bisa mereka lakukan? Tidak bisa lah"
846,"Berantas habis... turunkan semuanya langsung, biar gak makin lama semakin meluas dan terencana itu penghianat2 bangsa... Habisi tanpa pandang bulu... Muak bgt gw liat manusia2 gak jelas gitu pada..."
847,Jelaskan kenapa kalian membakar sekolah di daerah papua hah.  Merasa paling benar. Dicap teroris marah
848,Kita di tana papua dai sapang sapai merauka kita bukan teroris
849,"cukup latihan'nya, bahaya nyata didepan"
850,Gak perlu Sidang Internasional Tapi TERORIS mesti diratakan dng Tanah!!!
851,kok masih nyontek yang dialok 
852,Mana ada maling ngaku maling.... Libas habis teroris..
853,Indonesya pd dasar nya dari dulu tidak baik baik saja
854,"Ya emang teroris kok,emangnya oengen disebut apa.?"
855,Tumpas Habisi kejahatan apapun itu namanya .
856,Anggota GAM knpa gk di cap teroris?
857,Musnakan sajalah....!!
858,Ini Indonesia bung kalau mau keluar dari Indonesia ijin seluruh rakyat Indonesia dulu emangnya ngerebut pulau Papua  hanya orang Papua doang ngaca dulu Papua dulu masih orang primitif yg ngerebut pulau Papua semua rakyat Indonesia bung dan hanya pejuang2 Papua yg cerdas
859,"Yaelah,Mau merdeka di jaman Perang dagang kyk gini Ancur Langsung negara lu brow"
860,Gempur terus...jangan ksh napas....🇮🇩🇮🇩🇮🇩
861,"Keberatan diktkn teroris, bunuh,memperkosa, buat rusuh ngadu k pengadilan internasional lalu eng ie eng pisah dan dibela, yg jd sutradara n produser ketawa liat rkyt berhsil di adu"
862,Akal akalan pihak pemain di belakang nih.
863,"Jadi apa kaalau bukan teroris,pahlawan?pengadilan internasional klian itu moncong snjata tni&porli"
864,"Benny wenda bukan wni, pantas di bakar batu rakyat papua, papua barat bagian NKRi secara de fakto dan de jure,......Hidiup NKRI,...."
865,Setelah melihat bayang2 kematian baru kebingungan Cari pengadilan international ...
866,"Emang teoris . Teroris kkb, kkb teroris"
867,Habiskan.....
868,Dunia luar tau itu OPM organisasi Papua Merdeka...kkb teroris itu ciptaan indonesia
869,Hammad membela dan berjuang demi Palestina aja di cap teroris....nggak ada yang protes ....nah ini pembunuh warga sipil masa bukan teroris.
870,"Sangat setuju, bgmn dgn ormas apakah digolongkan teroris juga, krn sdh membuat keresahan ditengah masyarakat, mhn jwb tegas dr pemerintah."
871,Hancurkan kalian cuma harus ikuti saja kami jangan banyak ngomong mau ga mau harus mau ga ada keadilan buat kalian wkwkwkw
872,Basmi seoerti basmi tikus saja
873,Intinya papua ingin lepas dari indonesia makanya timbulah pemberontakan tersebut
874,KKB marah ... apelagi muslim udeh puluhan taon dicap teroris bro .. wkwkwk
875,"KKB real TERORIS.
Ngebunuhin para penduduk, dan  buat terror."
876,Ko mau aja ya mereka dibodohin Australi gk belajar dr suku aborigin apa
877,Kipas habis sampai ke akar2 nya
878,Berlindung dibalik ham
879,"KKB teroris+baperan juga yak perasaan ISIS gak baperan dah disebut teroris, KKB teroris²"
880,"""Kalau"" mereka bawa kepengadilan internasional dengan Topik tentang HAM, Lantas bagaimana dengan prajurit yang gugur, yang berusaha melindungi kesejahteraan masyarakat"
881,Kelakuan lebih sampah daripada sampah minta pake uji materi pengadilan internasional???? ijinkan saya muntah karena jijik
882,Setuju KKB itu tergolong Teroris yg hrs diperangi dan dibasmi saja
883,"Ayoooo TNI POLRI lakukan operasi senyap, skalian habisi KKB biar ga nglunjak, basmi semua, kalau ada yg minta damai percuma, sekelas oknum saja bisa membelot dan mempersenjatai mereka, bumi hanguskan saja, tak usah risau oknum anggota dewan ngebacot HAM, para elit hanya mencari panggung politik, tapi giliran ada warga NKRI jadi korban mereka pada diam saja, kasihan warga papua yang ingin merasakan pembangunan dan menikmati yg selama ini baru dibangun..."
884,"Psbb dan KKB gak beda jauh,kalo KKB bikin onaran tengah masyarakat ,dan klo psbb menghambat org buat mudik sama2 meresahkan masyarakat??"
885,"Senjata utama cuman koar2 HAM , tp mereka juga melakukan pembunuhan terhadap masyarakat dsna, giliran d gruduk jiper mreka..hehe.  Panik gak?! Panik gak?! Panik lah..masak engga"
886,Dari dulu  harusny dibilang teroris kenapa baru sekarang. Teroris bukan tukang bom doang yang membakar sekolah dan puskesmas menebar ketakutan dimasyarakat memang harus disebut teroris juga.
887,Babat habis jangan beri ampun
888,Ntar klo jadi pisah kya negara satunya yg skarang mewek pngen gabung lagi
889,"Dasar kkb mau nya apa sih,udh tau aksinya mengacaukan negara,,di sebut teroris ga mau,,minta dibawa ke pengadilan internasional,,udh tau kkb perusak,pembunuh,pengacau,pantas disebut teroris."
890,saya masih menunggu dalang dari kkb
891,Ganggu nkri habisi aja
892,Habiskan sampai bersih....tidak ada KKB lagi...sampai anak cucunya..
893,Sangat tepat dan benar sekali pak ...!!! Saya pribadi sangat sangat mendukung Tindakan ini.....!!!  Janganlah mengulur waktu apalagi negosiasi lagi karena mereka sudah banyak membunuh anggota TNI -POLRI dan rakyat sipil tak tau apa apa apalagi menghambat pembangunan ... Bila ada negara lain yang ikut campur urusan kalau perlu sikat juga biar tau negara kita tegas dan berani bila berada pada kebenaran...!!!
894,"Opm kemerdekaan hak segala bangsa, tampa papua, nkri bangkrot total, wilayah lain apa ada,,"
895,semoga warga papua yg sedang berjuang dn mempernjuangkan keadilan sosial bagi warga papua sll d mudahkan
896,"Kkb malah nantang pmerintah,, itu adalah hak nya apkah pmerintah akan kalah oleh sgelintir pngacau yg trus dan trus mngacam ketengan ktentramn bgsa"
897,mungkin definisi teroris mnurut mereka jenggotan dan cingkrang
898,Trz elu nya mau d sebut apaan? Squad epep?
899,Yg teros ulama berarti dia teroris
900,Itu udah bisa Termasuk Kategori TERORIS
901,Itu bkn aja teroris tpi udah  wktunya dbasmi smpei akar2nya....dan itu yg teriak2 FPI....mna bacotmu berani bela negara gak katanya mau mati jihad
902,Mereka berani ngomong begini karena emang di backing oleh...... ya kalian taulah siapa
903,Tidak Ada Lagi HAM karena Sudah Di Anggap TERORIS?....
904,Jangankan papua indonesi saja masih belum merdeka
905,"Bodoh amat lah soal ham, mau lapor ke mahkamah internasional atau apa.. Gass terus Pak TNI POLRI.."
906,Kkb/opm lebih tepat disebut kelompok teroris yg pengecutttt...
907,"apaan, di media tv atau berita online masih disebut kkb..
teroris itu cuman islam.."
908,KKB maunya apa sih..
909,Pembrontak kali!!!!!!!!!!!
910,Ini barruu pemerintah kita tegas gassss polllll
911,"Kkb otak nya udah geser, jangankan buat ke pengadilan internasional buat makan saja lu pada jarah warga sipil. Kalian bukan lgi teroris tp binatang."
912,"teroris itu dikatakan teroris kalo mereka mengatakan saya teroris , jadi teroris itu adalah teror yg mengeyengserakan berserakan"
913,"separatis, teroris harus dibrantas negara gk boleh ada dua bendera yg ada hanya sang saka bendera merah putih dn nkri dari sabang sampae merauke  itulah indonesia!!!"
914,Berarti BEGAL jg teroris ya??
915,Sejak januari lebih 10 petugas keamanan indonesia gugur....kkb gila kebal hukumkah
916,Santet aja
917,Nantang tapi kabur2an gimana sih bacot doang
918,KKB pengecut main nya sama Pengadilan internasional
919,Persetan dengan apapun yg dilakukan oleh k k b yg penting basmi setutas-tuntasnya kejar terus sampai sampai betul2 bersih kalu sampai kita ngga bisa membasmi sampai habis apa kata dunia!!bagaimana kita bisa menang  melawan negara lain kalu melawan sekelompok pemberontak saja kita bisa makanya aku sikat habis sampai betul2 bersih termasuk kelompok radikal
920,"Jangan di biasain, sedikit""dia minta merdeka, sdh ada contohnya seperti timor, lepas dari indonesia apa jadi skrg. Yg ada tinggal penyesalan harta buminya di keruk sama org asing, stop kata merdeka. Kita ini sdh merdeka mau apa lagi mereka. NKRI sdh harga mati. Sdh harga mati, tdk bisa di tawar lagi."
921,Emang mereka TERORIS kok!!! Suplayer srnjatanya aja seorang PENDETA yg bernama PENIEL KOGOYA. Habisin aja mereka sampai ke akarnya
922,UDAH LAMA DAN JELAS KALI..BARU KALI INI DINYATAKAN TRRS?..
923,"Ayooo,, kasi ""wipe out"""
924,"Emg apa sih penyebab mereka ingin merdeka?
Itulh yg hrs d rundingkn"
925,"Gara2 mereka saudara kita di Papua gak bisa hidup tenang, habiskan saja organisasi itu. Hidup TNI Polri "
926,"memang begtu tujuan mereka, merasa terdzolimi, ngadu ke luar negeri, luar negeri ikut campur, menarik simpati rakyat papua, selanjutnya demo besar²an... bla bla blaa.."
927,"Itu jelas teroris ,, Brantas ,, negara g usah layani segelintir gerombolan,,,"
928,"Siapapun itu , jika berani memberontak di tanah kesatuan republik indonesia. Itu sdh wajib di tumpas.mau teroris mau pemberontak sikat  semua, negara ini merdeka di bayar dengan darah & nyawa para pejuang. Jika takut akan ham, siap siap akan kehancuran negara ini, salam nkri harga mati"
929,tumpas habis teroris yang merusak kedamaian rakyat NKRI
930,Melihat video mereka membantai sesama saudaranya apa gak cukup sebagai bukti bahwa mereka biadab..
931,"92% Pro NKRI
8% Pro KKB
Yang Pro KKB Saya Sumpahin Mati Kena Azab Tersambar Petir Sampe Jenazahnya Gosong"
932,Hancurkan teroris
933,Lihat seragam teroris itu seperti milik Australia
934,Nah loh klo g mau d sebut teroris mo apa?... boyband korea gt 
935,Bismillah..hati-hati..
936,Internasional aja gak ngakuin kkb
937,"Tidak ussah takut dengan pengadilan2tuyul teroris,habisi saja biar pengadilan nya kosong"
938,"udh balik aj ke jadi warga yg baik
jadi terorist itu label pas krn misi kalian bakar sekolah menjara rakyat 
sblm ditangkap beda acara kalau tangkap kecuali nyerah awal"
939,"gak ada, sikat habis, urusan HAM belakangan"
940,"Ga usah peduli perihal pengadilan international, jgn sampe lolos tuh KKB."
941,"KKB BUKAN TERORIS MELAINKAN ""PEMBERONTAK"" JIKA SUATU NEGARA BERDIRI SUATU ORGANISASI BERSENJATA ITU D SEBUT PEMBERONTAKAN.
PEMBERONTAKKAN SUATU NEGARA HARUS BENAR2 D BERSIHKAN SAMPAI AKAR2NYA JIKA PERLU TEMBAK DAN JANGAN ADA YG TERSISA AGAR TIDAK MUNCUL GENERASI2 YG AKAN DATANG."
942,Proyek perang.. Ke maen kucing kucingan.. Mau nyerang kok kasi tau dlu.. Mau ini itu harus di buat pemberitahuan.. Udah tau duluan musuh jadinya.. Perang tolol.. Membodohi rakyat.. Klu maunnyerang kkb dgn benar? Ga usah di kasi tau.. Cukup kalian aja yg tau..
943,KKB panik?
944,"Kalo gk mau  ada kkb,, hutan papua jangan di rusak kayak hutan kalimantan,,"
945,"klw pun mengajukan materi ke internasional tetap saja data di lapangan menunjukan kekrasan yg dilakukan klompok ini menewaskan warga sipil, penyandraan kampung dll."
946,Lah lu bunuh org ga bersalah lu di cap teroris gamau..? Lu sama aja ama isis. Yg harus di basmi.
947,"Yg terbunuh sdh bnyk, kok d kasih hati...."
948,Labek terorisme sangat cocok..
949,Bukan teroris itu tp pemberontak
950,"KKB berani bw kasus ini smpe ke internasional  yg ada senjata makan tuan. Dibw smpe ke pengadilan internasional malah KKB disuruh menyerah,,,Dasar gk tw diri,  gk mikir sblom ngomong yah mereka. Udh membunuh,  mengancam , dan mengganggu ketentraman warga, masih PD  membela diri. Klo benar mw memisahkan diri. Jgn smpe bernasib sama kya timur leste yah,  menyesal dikemudian hari..."
951,"Mari berjihad lawan terorisme , musnahkan semua terorisme"
952,Semuanya kaw sebut teroris.anda tak paham apa itu teroris.ngaji jangan di kulit kitab atau di yutube .from pakistan .! From Acheh Asia.!
953,Do'a kan kakak saya yang bertugas di papua
954,Mereka memang teroris
955,"Sikat habis aja mereka jngn kasih ampun menurut ku mereka malah melebihi teroris  membunuh orang tak  berslh se enaknya,  soal ham urusan belakang  , TNI,  POLRi,  Doa kami slalu menyertaimu  smga Alloh swt  slalu melindungimu"
956,Mafud gila
957,"Banyak pakar politik sudah kehilangan urat waras, masyarakat dibunuh diam,TNI/POLRI dibunuh diam, giliran TRORIS ditangkap dan dibunuh ribut rame2 bahkan mantan presiden nyalakan presiden, apakah yg rame2 ini musuh NKRI ?. Pertanyaan, yg rame2 bekerja sama negara man?!.ya ALLAH hukum lah mereka yg rame2 yg menginginkan NKRI hancur.,tungguh hukuman TUHAN ya."
958,Telepon Benny Wenda dulu ya kan buat cari pengacara
959,"Emg teroris.. Klw bkn teroris mw di cap apa? Pejuang gtu??? Mreka emg teroris,mmbunuh yg tidak bersalah,,udh pntas di hancurin smwa."
960,".anjrit ke pngadilan internasional... :v , sumpah ni orang utan belum mengenal kaca kali yak?. Hadeh dah ratain wae lah...!!!"
961,Kerjar pake pesawat
962,opm/tpnpb adlh teroris yg hrus disingkirkan&dibumi hanguskan...jgn teriak HAM klo perbuatan kaluan melebihi binatang... darah mereka halal...
963,"TNI : mereka pengkhianat bangsa, basmi sampai ke akar akarnya

Tentara OPM : mereka penjajah, ayo kita usir penjajah."
964,"lansung serbu aja,kkb udah ketakutan"
965,"Cuihhh kriminal sok keras, gara"" mereka Masyarakat Papua slalu di pandang sebelah mata"
966,Sana pergi ke sidang international pengen liat apa di bela di sidang itu? Jangan omdo aja.. Emang pantas di cap teroris  tuh kkb atau opm sdh memberontak dan membunuh byk korban apa itu bukan  teroris ??skrg nuntut ham capek deeh...kkb wkt membunuh org byk ga mikir ham tuh...
967,Sudah teroris itu cuk mereka juga membunuh dan menyerang rakyat Papua apa itu pengen misah dari indo tapi nyiksa rakyat Papua malu woyy
968,"KKB dan KSB  adalah  TERORIS  yang harus  DIMUSNAHKAN
RAKYAT  INDONESIA  MENDUKUNG SEPENUHNYA  TNI - POLRI untuk MEMUSNAHKAN para TERORIS PAPUA ini"
969,Cocok nya teroris KKB d hadapkn dg teroris ISIS.yg d poso tolong geser k papua..semoga trjadi..aamiin.
970,Damai aja deh. Saudaraku di papua. Songsong masa depan lebih baik. Salam damai 🇮🇩
971,Mau di cap binatang ??
972,"Kl ngacau nkri ama aja kudeta bos  negara lain jgn ikut campur urusan indonesia
Kl negara lain kayak opm pst dibantai ga ada toleransi"
973,LABELISASI + LABELISASI DARI PEMERINTAH TERHADAP ORANG PAPUA YANG MENENTANG KETIDAK ADILAN TERHADAP HARKAT DAN MERTABATNYA SEBAGAI SEBUAH BANGSA DARI RUMPUN MELANESIA...MENUNJUKAN KEPANIKAN DAN KEBINGUNGAN PEMERINTAH MENG-INDONESIAKAN ORANG PAPUA..
974,Mereka bukan hanya teroris tapi perusak negri tercinta nkri
